jis_code,prefecture,city_name,city_kana,total_households,total_population,total_buildings,aliases
43201,熊本県,熊本市,クマモトシ,320000,738000,340000,"熊本市|熊本市中央区|熊本市東区|熊本市西区|熊本市南区|熊本市北区|熊本"
43441,熊本県,益城町,マシキマチ,13500,34000,14200,"益城町|熊本県上益城郡益城町|上益城郡益城町|益城"
43443,熊本県,西原村,ニシハラムラ,2600,6800,2750,"西原村|熊本県阿蘇郡西原村|阿蘇郡西原村|西原"
43442,熊本県,南阿蘇村,ミナミアソムラ,4200,10500,4600,"南阿蘇村|熊本県阿蘇郡南阿蘇村|阿蘇郡南阿蘇村|南阿蘇"
43211,熊本県,宇土市,ウトシ,14800,36500,15500,"宇土市|宇土"
43202,熊本県,八代市,ヤツシロシ,51000,123000,53500,"八代市|八代"
43203,熊本県,人吉市,ヒトヨシシ,13000,31500,13800,"人吉市|人吉"
43444,熊本県,御船町,ミフネマチ,6700,16800,7100,"御船町|上益城郡御船町|御船"
43445,熊本県,嘉島町,カシママチ,3800,9600,4000,"嘉島町|上益城郡嘉島町|嘉島"
43446,熊本県,甲佐町,コウサマチ,3900,10100,4100,"甲佐町|上益城郡甲佐町|甲佐"
43214,熊本県,阿蘇市,アソシ,10500,26000,11200,"阿蘇市|阿蘇"
17204,石川県,輪島市,ワジマシ,10200,23500,11000,"輪島市|輪島"
17205,石川県,珠洲市,スズシ,5600,12800,6000,"珠洲市|珠洲"
17463,石川県,能登町,ノトチョウ,6500,15000,6900,"能登町|鳳珠郡能登町|能登"
17407,石川県,穴水町,アナミズマチ,3400,7800,3600,"穴水町|鳳珠郡穴水町|穴水"
17201,石川県,金沢市,カナザワシ,205000,463000,210000,"金沢市|金沢"
04201,宮城県,仙台市,センダイシ,520000,1090000,540000,"仙台市|仙台市青葉区|仙台市宮城野区|仙台市若林区|仙台市太白区|仙台市泉区|仙台"
04202,宮城県,石巻市,イシノマキシ,59000,140000,620000,"石巻市|石巻"
04203,宮城県,塩竈市,シオガマシ,23000,52000,24000,"塩竈市|塩釜市|塩竈"
04205,宮城県,気仙沼市,ケセンヌマシ,24000,59000,25500,"気仙沼市|気仙沼"
13101,東京都,千代田区,チヨダク,36000,67000,25000,"千代田区|千代田"
13104,東京都,新宿区,シンジュクク,220000,340000,150000,"新宿区|新宿"
27100,大阪府,大阪市,オオサカシ,1530000,2750000,1600000,"大阪市|大阪市北区|大阪市中央区|大阪"
